LISTA MAESTRA THAIPLAST,,,,,,,,,
,,,,,,,,,
Productos • Calidad • Precios Bajos • Atención Cercana,,,,,,,,,
,,,,,,,,,
SKU,Categoría,Producto,Medida/Capacidad,Presentación,Color,Material,Uso Recomendado,Precio,Stock
TP-KRA-001,Bolsas Kraft,Bolsa Kraft Extra Corta,Extra corta,Pack x100,Café Kraft,Papel Kraft,multiuso,$1.000,
TP-KRA-002,Bolsas Kraft,Bolsa Kraft kilo corto 0.75 kg,0.75 kg,Pack x100,Café Kraft,Papel Kraft,multiuso,$1.150,
TP-KRA-003,Bolsas Kraft,Bolsa Kraft 1 kg,1 kg,Pack x100,Café Kraft,Papel Kraft,multiuso,$1.250,
TP-KRA-004,Bolsas Kraft,Bolsa Kraft 2 kg,2 kg,Pack x10,Café Kraft,Papel Kraft,multiuso,$1.900,
TP-KRA-005,Bolsas Kraft,Bolsa Kraft 3 kg,3 kg,Pack x100,Café Kraft,Papel Kraft,Verdulería / Almacén,$2.300,
TP-KRA-006,Bolsas Kraft,Bolsa Kraft 4 kg,4 kg,Pack x100 U,Café Kraft,Papel Kraft,multiuso,$3.380,
TP-KRA-007,Bolsas Kraft,Bolsa Kraft 5 kg,5 kg,Pack x100 U,Café Kraft,Papel Kraft,multiuso,$3.550,
TP-KRA-008,Bolsas Kraft,Bolsa Kraft 6 kg,6 kg,Pack x100 U,Café Kraft,Papel Kraft,Productos grandes,$4.100,
TP-KRA-009,Bolsas Kraft,Bolsa Kraft 7.5 kg,7.5 kg,Pack x10,Café Kraft,Papel Kraft,Productos industriales,$4.800,
TP-BLA-001,Bolsas Blancas,Bolsa Blanca 0.250,0.250,Pack x100 U,Blanco,Papel,Uso general,$1.200,
TP-CTS-001,Contenedores,CT6,50 unidades,Pack x50,Blanco,Plumavit,Comida caliente / Delivery,$4.000,
TP-PSA-001,Porta Sandwich,Porta Sandwich Carvajal,Estándar,Pack x25,Kraft,Cartón,Sandwich / Cafetería,$2.100,
TP-HOT-001,Hot Dog,Hot Dog Chico Térmico,Chico,Pack x25,Blanco,Térmico,Comida rápida,$2.200,
TP-HOT-002,Hot Dog,Hot Dog Grande Térmico,Grande,Pack x2,Blanco,Térmico,Comida rápida,$3.800,
TP-CTS-002,Contenedores,CTS C/D-S/D,25 unidades,Pack x25,Blanco,Plumavit,Delivery / Colaciones,$3.850,
TP-DAR-001,Darnel,J-1 J2 Darnel,50 unidades,Pack x50,Transparente,Plástico,Repostería / Delivery,$5.400,
TP-CT1-001,Contenedores,CT1,25 unidades,Pack x25,Blanco,Plumavit,Comida caliente,$4.990,
TP-BAN-001,Bandejas,Bandeja 1S Térmica,1S,Pack x25,Blanco,Plumavit,Colaciones,$1.000,
TP-BAN-002,Bandejas,Bandeja 2S,2S,Pack x25,Blanco,Plumavit,Comida rápida,$1.600,
TP-BAN-003,Bandejas,Bandeja 4S Térmica,4S,Pack x25,Blanco,Plumavit,Almuerzos,$1.990,
TP-BAN-004,Bandejas,Bandeja Carvajal,Estándar,Pack x50,Kraft,Cartón,Delivery / Comida,$6.500,
TP-JL1-001,Contenedores,JL-1,50 unidades,Pack x50,Blanco,Plástico,Delivery,$4.500,
TP-PSV-001,Porta Sandwich,Porta Sandwich Vander,Estándar,Pack x25,Kraft,Cartón,Sandwich / Cafetería,$1.990,
TP-VAS-001,Vasos,Vaso 90 cc,90 cc,Pack x50,Blanco,Plástico,Café / Degustación,$990,
TP-VAS-002,Vasos,Vaso 200 cc,200 cc,Pack x50,Blanco,Plástico,Bebidas calientes/frías,$1.000,
TP-VAS-003,Vasos,Vaso 300 cc,300 cc,Pack x50,Blanco,Plástico,Jugos / Bebidas,$1.100,
TP-VAS-004,Vasos,Vaso Color 500 cc,500 cc,Pack x50,Color,Plástico,Fiestas / Eventos,$1.900,
TP-VAS-005,Vasos,Vaso 360 cc,360 cc,Pack x50,Blanco,Plástico,Bebidas frías,$1.450,
TP-VAS-006,Vasos,Vaso 14-16 Vulcan,14-16 oz,Pack x25,Blanco,Térmico,Café / Bebidas calientes,$1.100,
TP-VAS-007,Vasos,Vaso 500 cc,500 cc,Pack x50,Blanco,Plástico,Jugos / Delivery,$2.500,
TP-VAS-008,Vasos,Vaso Color 500 cc Premium,500 cc,Pack x50,Color,Plástico,Eventos / Premium,$4.000,
TP-PRE-001,Prepicados,Bolsa Prepicada,20x30,Pack estándar,Transparente,Plástico,Alimentos / Verdulería,$3.200,
TP-PRE-002,Prepicados,Bolsa Prepicada,25x35,Pack estándar,Transparente,Plástico,Alimentos / Verdulería,$3.200,
